pl_name,hostname,ra,dec,discoverymethod,disc_facility,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_eqt,pl_trandep,pl_trandur,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_spectype
"Kepler-199 c","Kepler-199",295.5594278,40.2362490,"Transit","Kepler",2014,3.25000000,10.60000000,67.09340800000,0.3160000000,0.000000,1.700000,420.00,0.12939000,6.9310000,88.93000,5644.00,0.967000,0.960000,0.0000,4.438000,-0.09685,
"Kepler-1990 c","Kepler-1990",299.7047433,44.4357068,"Transit","Kepler",2023,0.98000000,0.90400000,4.06844957000,0.0504000000,0.000000,5.280000,1170.00,0.00798000,2.8349000,86.61000,5751.00,1.071000,1.028000,0.2100,4.391000,0.11702,
"Kepler-1992 b","Kepler-1992",295.0902409,45.0811045,"Transit","Kepler",2023,0.91000000,0.69300000,15.61122380000,0.1169000000,0.000000,5.050000,637.00,0.01135000,3.8730000,89.03000,5383.00,0.842000,0.874000,0.0000,4.528000,-0.00858,
"Kepler-1995 b","Kepler-1995",284.3427250,46.3165907,"Transit","Kepler",2023,4.28000000,16.90000000,73.75788750000,0.3259000000,0.000000,1.180000,375.00,0.18369000,2.6900000,89.74000,5029.00,0.930000,0.847000,0.4800,4.429000,-0.55559,
"Kepler-1996 c","Kepler-1996",285.2537555,46.5822183,"Transit","Kepler",2023,2.81000000,8.30000000,92.72972480000,0.3608000000,0.000000,2.060000,276.00,0.12575000,6.8300000,89.19000,4580.00,0.675000,0.748000,0.0800,4.641000,-0.65721,
"Kepler-1997 b","Kepler-1997",297.4808253,46.5891373,"Transit","Kepler",2023,2.28000000,5.82000000,26.75758660000,0.1815000000,0.000000,2.700000,660.00,0.04553000,5.8580000,89.29000,6215.00,1.052000,1.111000,-0.0600,4.440000,0.13162,
"Kepler-2001 c","Kepler-2001",291.6594558,50.5838585,"Transit","Kepler",2023,1.82000000,3.97000000,14.09258318900,0.1084000000,0.000000,3.620000,597.00,0.05304000,4.1536000,88.45000,5081.00,0.770000,0.864000,0.1200,4.596000,-0.54627,
"Kepler-203 b","Kepler-203",297.0899590,41.3880686,"Transit","Kepler",2014,2.57000000,7.13000000,3.16269700000,0.0430000000,0.000000,2.310000,1308.00,0.05261000,1.9000000,85.47000,5821.00,1.114000,1.060000,0.0800,4.358000,0.09370,
"Kepler-203 d","Kepler-203",297.0899590,41.3880686,"Transit","Kepler",2014,1.44000000,33.90000000,11.32972000000,0.1000000000,0.000000,62.400000,855.00,0.01743000,3.9920000,89.91000,5821.00,1.114000,1.060000,0.0800,4.358000,0.09370,
"Kepler-204 b","Kepler-204",285.3471620,41.7618450,"Transit","Kepler",2014,2.53000000,6.94000000,14.40097400000,0.1170000000,0.000000,2.350000,828.00,0.03964000,3.9060000,86.44000,5812.00,1.238000,1.038000,0.0700,4.269000,0.02981,
"Kepler-204 c","Kepler-204",285.3471620,41.7618450,"Transit","Kepler",2014,1.79000000,3.86000000,25.66059300000,0.1730000000,0.000000,3.700000,683.00,0.01692000,4.3830000,87.88000,5812.00,1.238000,1.038000,0.0700,4.269000,0.02981,
"Kepler-205 b","Kepler-205",285.2866912,41.8609357,"Transit","Kepler",2014,1.51000000,2.89000000,2.75564000000,0.0320000000,0.000000,4.610000,757.00,0.05464000,1.9480000,85.06000,4321.00,0.546000,0.592000,-0.1254,4.735000,-0.95618,"M1 V"
"Kepler-207 d","Kepler-207",290.0305195,42.1660555,"Transit","Kepler",2014,3.31000000,11.00000000,5.86807500000,0.0680000000,0.000000,1.670000,1254.00,0.04356000,3.9700000,83.38000,5920.00,1.588000,1.313000,0.2900,4.129000,0.53430,
"Kepler-209 b","Kepler-209",291.1694567,42.6407281,"Transit","Kepler",2014,2.26000000,5.73000000,16.08784500000,0.1220000000,0.000000,2.730000,668.00,0.06125000,2.8780000,88.05000,5513.00,0.935000,0.971000,0.1100,4.472000,-0.12879,
"Kepler-212 b","Kepler-212",287.6208165,43.1416239,"Transit","Kepler",2014,1.09000000,1.32000000,16.25758200000,0.1330000000,0.000000,5.600000,830.00,0.00597000,6.5960000,89.61000,5852.00,1.455000,1.166000,0.2200,4.182000,0.38347,
"Kepler-216 c","Kepler-216",293.7280695,46.1291139,"Transit","Kepler",2014,3.04000000,9.48000000,17.40666900000,0.1360000000,0.000000,1.850000,814.00,0.05818000,6.8690000,89.94000,6091.00,1.260000,1.126000,-0.1489,4.280000,0.51836,
"Kepler-218 b","Kepler-218",295.4128785,46.2665801,"Transit","Kepler",2014,1.48000000,2.79000000,3.61933700000,0.0460000000,0.000000,4.730000,1156.00,0.02066000,3.0140000,89.27000,5502.00,1.063000,1.019000,0.3700,4.391000,0.00935,
"Kepler-219 c","Kepler-219",288.7389481,46.7625929,"Transit","Kepler",2014,3.58000000,12.50000000,22.71461300000,0.1650000000,0.000000,1.500000,766.00,0.05686000,5.8080000,87.36000,5786.00,1.491000,1.164000,0.3600,4.157000,0.21390,
"Kepler-220 b","Kepler-220",291.5060432,46.8956262,"Transit","Kepler",2014,0.81000000,0.45700000,4.15980700000,0.0460000000,0.000000,4.730000,759.00,0.01592000,1.6260000,87.37000,4632.00,0.666000,0.729000,-0.1738,4.652000,-0.67594,
"Kepler-221 d","Kepler-221",296.6547477,46.8352242,"Transit","Kepler",2014,2.73000000,3.61000000,10.04156000000,0.0870000000,0.000000,0.900000,712.00,0.11553000,2.5300000,87.80000,5243.00,0.821000,0.854000,0.0616,4.543000,-0.40429,
"Kepler-222 c","Kepler-222",287.9060885,46.9377479,"Transit","Kepler",2014,4.64000000,19.40000000,10.08881000000,0.0910000000,0.000000,1.070000,734.00,0.21758000,1.7140000,87.60000,5433.00,0.869000,0.933000,0.3300,4.551000,-0.33784,
"Kepler-223 b","Kepler-223",298.3183909,47.2794824,"Transit","Kepler",2014,2.99000000,7.40000000,7.38449000000,0.0752500000,0.078000,1.540000,1042.00,0.03498000,5.7351000,90.00000,5803.00,1.720000,1.125000,0.1000,4.460000,0.37128,
"Kepler-228 b","Kepler-228",296.2860853,48.2246328,"Transit","Kepler",2014,1.53000000,2.96000000,2.56654600000,0.0380000000,0.000000,4.540000,1360.00,0.02265000,2.3270000,82.17000,6043.00,1.014000,1.006000,0.1800,4.467000,0.11115,
"Kepler-23 b","Kepler-23",294.2189131,49.4792536,"Transit","Kepler",2011,1.63800000,2.56000000,7.10000000000,0.0721200000,0.017000,3.186870,1157.00,0.01310000,5.1462000,89.57000,5828.00,1.548000,1.078000,-0.1120,4.090000,0.39783,
"Kepler-230 c","Kepler-230",285.7185682,48.5058038,"Transit","Kepler",2014,2.04000000,4.82000000,91.77324200000,0.3800000000,0.000000,3.120000,359.00,0.06520000,6.0340000,89.61000,5588.00,0.817000,0.784000,-0.2100,4.551000,-0.36784,
"Kepler-232 c","Kepler-232",295.8161668,51.1217249,"Transit","Kepler",2014,3.83000000,14.00000000,11.37934900000,0.1010000000,0.000000,1.370000,806.00,0.10235000,2.6120000,86.80000,5847.00,0.968000,0.970000,0.0300,4.495000,0.05183,
"Kepler-233 b","Kepler-233",296.3665054,51.3194548,"Transit","Kepler",2014,2.43000000,6.48000000,8.47238200000,0.0770000000,0.000000,2.480000,751.00,0.11235000,2.6970000,89.95000,5360.00,0.758000,0.855000,-0.0900,4.614000,-0.32754,
"Kepler-235 b","Kepler-235",286.0790779,39.2782370,"Transit","Kepler",2014,2.23000000,5.60000000,3.34022200000,0.0370000000,0.000000,2.770000,731.00,0.18440000,1.9250000,89.47000,4255.00,0.554000,0.581000,-0.5100,4.730000,-1.10237,"M0 V"
"Kepler-236 b","Kepler-236",283.8664285,39.8981928,"Transit","Kepler",2014,1.57000000,3.09000000,8.29561100000,0.0650000000,0.000000,4.390000,469.00,0.08243000,1.3280000,87.95000,3750.00,0.510000,0.596005,-0.0500,4.753000,-1.22915,"M1 V"
"Kepler-237 b","Kepler-237",283.2213438,40.4217620,"Transit","Kepler",2014,1.41000000,2.57000000,4.71510600000,0.0500000000,0.000000,5.040000,823.00,0.04175000,2.3510000,88.96000,4861.00,0.725000,0.696000,0.2200,4.583000,-0.47742,
"Kepler-238 b","Kepler-238",287.8971066,40.6378141,"Transit","Kepler",2014,1.73000000,3305.02000000,2.09087600000,0.0340000000,0.000000,526.000000,1642.00,0.01159000,3.1930000,77.03000,5751.00,1.430000,1.229000,0.3400,4.194000,0.43048,
"Kepler-238 c","Kepler-238",287.8971066,40.6378141,"Transit","Kepler",2014,2.39000000,152.52200000,6.15555700000,0.0690000000,0.000000,3.200000,1146.00,0.02850000,4.8370000,88.56000,5751.00,1.430000,1.229000,0.3400,4.194000,0.43048,
"Kepler-239 b","Kepler-239",294.2020505,40.6633313,"Transit","Kepler",2014,2.33000000,6.04000000,11.76305100000,0.0950000000,0.000000,2.620000,616.00,0.10373000,2.8990000,89.91000,4914.00,0.763000,0.757000,0.1700,4.583000,-0.47489,
"Kepler-239 c","Kepler-239",294.2020505,40.6633313,"Transit","Kepler",2014,2.51000000,6.85000000,56.22809800000,0.2680000000,0.000000,2.380000,366.00,0.08627000,3.7000000,89.56000,4914.00,0.763000,0.757000,0.1700,4.583000,-0.47489,
"Kepler-24 d","Kepler-24",290.4132621,38.3437283,"Transit","Kepler",2014,1.67000000,293.95900000,4.24438400000,0.0510000000,0.000000,152.000000,1305.00,0.02017000,2.9450000,75.07000,5897.00,1.289000,1.046000,-0.0708,4.200000,0.06400,
"Kepler-24 e","Kepler-24",290.4132621,38.3437283,"Transit","Kepler",2014,2.78000000,26.21180000,18.99835500000,0.1380000000,0.000000,0.310000,792.00,0.04683000,2.9630000,79.72000,5897.00,1.289000,1.046000,-0.0708,4.200000,0.06400,
"Kepler-241 c","Kepler-241",292.9131121,41.0609786,"Transit","Kepler",2014,2.57000000,7.13000000,36.06597800000,0.1890000000,0.000000,2.310000,397.00,0.15638000,4.2730000,89.77000,4699.00,0.668000,0.671000,0.0310,4.627000,-0.60729,
"Kepler-242 b","Kepler-242",286.5656932,41.8084168,"Transit","Kepler",2014,2.61000000,7.32000000,8.20395000000,0.0750000000,0.000000,2.260000,742.00,0.10783000,2.7400000,86.43000,5020.00,0.850000,0.748000,-0.0200,4.492000,-0.61267,
"Kepler-242 c","Kepler-242",286.5656932,41.8084168,"Transit","Kepler",2014,2.00000000,4.66000000,14.49648100000,0.1090000000,0.000000,3.200000,613.00,0.06571000,3.2220000,84.34000,5020.00,0.850000,0.748000,-0.0200,4.492000,-0.61267,
"Kepler-244 b","Kepler-244",287.2426410,42.3014185,"Transit","Kepler",2014,2.76000000,8.05000000,4.31179200000,0.0500000000,0.000000,2.100000,1038.00,0.11540000,2.7350000,89.08000,5554.00,0.803000,0.933000,0.0700,4.585000,-0.25619,
"Kepler-244 c","Kepler-244",287.2426410,42.3014185,"Transit","Kepler",2014,2.05000000,4.86000000,9.76729200000,0.0870000000,0.000000,3.100000,791.00,0.05691000,1.3730000,87.68000,5554.00,0.803000,0.933000,0.0700,4.585000,-0.25619,
"Kepler-244 d","Kepler-244",287.2426410,42.3014185,"Transit","Kepler",2014,2.31000000,15.20000000,20.05040100000,0.1400000000,0.000000,6.780000,622.00,0.08409000,4.5040000,89.31000,5554.00,0.803000,0.933000,0.0700,4.585000,-0.25619,
"Kepler-245 b","Kepler-245",291.6389972,42.4363482,"Transit","Kepler",2014,2.57000000,146.78000000,7.49019000000,0.0710000000,0.000000,0.120000,753.00,0.12124000,2.8040000,89.95000,5100.00,0.795000,0.856000,0.1200,4.560000,-0.39579,
"Kepler-247 c","Kepler-247",288.6425609,43.0393769,"Transit","Kepler",2014,4.09000000,15.70000000,9.43945200000,0.0840000000,0.000000,1.260000,686.00,0.30361000,2.8960000,89.89000,5100.00,0.768000,0.887000,0.3000,4.608000,-0.42165,
"Kepler-249 d","Kepler-249",296.9853002,43.6586043,"Transit","Kepler",2014,1.57000000,3.09000000,15.36845900000,0.0970000000,0.000000,4.390000,332.00,0.07561000,2.6970000,89.86000,3568.00,0.482000,0.510238,-0.3400,4.777000,-1.49485,"M2 V"
"Kepler-25 c","Kepler-25",286.6383905,39.4879038,"Transit","Kepler",2011,5.21700000,15.20000000,12.72070000000,0.1117000000,0.006100,0.588000,934.00,0.10700000,2.8620000,92.76400,6354.00,1.316000,1.165000,0.1100,4.285000,0.42160,"F8"
"Kepler-251 d","Kepler-251",296.5662171,44.1058077,"Transit","Kepler",2014,2.77000000,8.10000000,30.13300100000,0.1820000000,0.000000,2.090000,536.00,0.10158000,4.9190000,88.21000,5526.00,0.890000,0.891000,-0.0600,4.486000,-0.17197,
"Kepler-253 c","Kepler-253",291.8419337,44.8581240,"Transit","Kepler",2014,2.65000000,7.51000000,10.28195100000,0.0890000000,0.000000,2.220000,680.00,0.11107000,3.5170000,89.59000,5208.00,0.786000,0.860000,0.1500,4.595000,-0.38741,
