kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00893.01","Kepler-717 b","CONFIRMED","CANDIDATE",292.965550,43.346390,4.40841331,2.66,549.4,5.012,1139.0,398.00,6007.00,0.9610,0.9680,4.457,0.899,0,45.10,1.0000
"K00894.01",,"FALSE POSITIVE","FALSE POSITIVE",299.001430,43.399632,7.9426176,4.68,1590.7,6.703,878.0,140.57,5811.00,0.9260,1.0360,4.521,0.942,0,60.40,0.0000
"K00895.01",,"FALSE POSITIVE","FALSE POSITIVE",296.410190,43.455391,4.409409243,10.95,12861,3.8636,1101.0,347.06,5600.00,0.9750,0.8110,4.368,0.028,0,85.80,0.2280
"K00896.01","Kepler-248 c","CONFIRMED","CANDIDATE",293.061400,43.581360,16.23947096,4.14,2590.7,4.0374,598.0,30.14,5191.00,0.8370,0.9370,4.564,0.043,0,123.80,1.0000
"K00896.02","Kepler-248 b","CONFIRMED","CANDIDATE",293.061400,43.581360,6.308201629,2.96,1328.5,2.9785,819.0,106.44,5191.00,0.8370,0.9370,4.564,0.03,0,86.20,1.0000
"K00897.01","Kepler-718 b","CONFIRMED","CANDIDATE",299.561890,43.503559,2.052349884,13.12,14280.6,2.0778,1497.0,1183.18,5855.00,1.0800,1.0490,4.393,0.437,0,1072.10,1.0000
"K00898.01","Kepler-83 b","CONFIRMED","CANDIDATE",282.232510,43.665630,9.7704486,2.23,1897.8,2.4517,460.0,10.59,3906.00,0.5090,0.5080,4.730,0.09,0,58.00,1.0000
"K00898.02","Kepler-83 d","CONFIRMED","CANDIDATE",282.232510,43.665630,5.169804269,1.66,1037.4,2.153,569.0,24.75,3906.00,0.5090,0.5080,4.730,0.351,0,41.40,1.0000
"K00898.03","Kepler-83 c","CONFIRMED","CANDIDATE",282.232510,43.665630,20.09017037,2.25,1432.1,4.154,362.0,4.05,3906.00,0.5090,0.5080,4.730,0.886,0,36.90,1.0000
"K00899.01","Kepler-249 c","CONFIRMED","CANDIDATE",296.985050,43.658520,7.11373257,1.16,807.6,2.1764,429.0,8.01,3561.00,0.4110,0.4400,4.855,0.334,0,44.40,0.9990
"K00899.02","Kepler-249 b","CONFIRMED","CANDIDATE",296.985050,43.658520,3.306551643,0.91,509.2,1.8177,554.0,22.19,3561.00,0.4110,0.4400,4.855,0.001,0,37.80,0.9990
"K00899.03","Kepler-249 d","CONFIRMED","CANDIDATE",296.985050,43.658520,15.36845737,1.11,756.1,2.4714,332.0,2.86,3561.00,0.4110,0.4400,4.855,0.115,0,30.90,0.9980
"K00900.01","Kepler-1730 b","CONFIRMED","CANDIDATE",281.960630,43.703110,13.81020318,4.56,1309.7,3.048,833.0,113.75,5942.00,1.1420,1.0090,4.327,0.791,0,46.20,1.0000
"K00901.01",,"CANDIDATE","CANDIDATE",285.167480,43.876339,12.732624065,4.87,6465.7,2.2083,432.0,8.22,3950.00,0.5410,0.5630,4.721,0.811,0,210.50,1.0000
"K00902.01",,"CANDIDATE","CANDIDATE",287.852390,43.897991,83.92494032,4.78,7958.7,6.7904,226.0,0.62,3960.00,0.5090,0.5260,4.746,0.658,0,182.10,0.9660
"K00903.01","Kepler-719 b","CONFIRMED","CANDIDATE",295.536130,43.884449,5.007316661,6.96,6932.3,4.2362,998.0,234.28,5865.00,0.8270,0.9140,4.563,0.344,0,431.40,1.0000
"K00904.01","Kepler-55 d","CONFIRMED","CANDIDATE",285.168330,44.026459,2.211116989,1.85,724.2,1.6485,931.0,177.19,4500.00,0.6460,0.7100,4.656,0.69,0,42.60,1.0000
"K00904.02","Kepler-55 b","CONFIRMED","CANDIDATE",285.168330,44.026459,27.9541337,1.9,942.5,3.95,400.0,6.04,4500.00,0.6460,0.7100,4.656,0.063,0,25.40,0.9970
"K00904.03","Kepler-55 c","CONFIRMED","CANDIDATE",285.168330,44.026459,42.1406089,1.85,895.5,5.083,349.0,3.49,4500.00,0.6460,0.7100,4.656,0.045,0,21.60,1.0000
"K00904.04","Kepler-55 e","CONFIRMED","CANDIDATE",285.168330,44.026459,4.617490562,1.62,575.8,2.2618,728.0,66.47,4500.00,0.6460,0.7100,4.656,0.649,0,28.10,1.0000
"K00904.05","Kepler-55 f","CONFIRMED","CANDIDATE",285.168330,44.026459,10.19849255,1.75,634.1,2.4283,559.0,23.11,4500.00,0.6460,0.7100,4.656,0.714,0,21.40,0.9960
"K00905.01",,"FALSE POSITIVE","FALSE POSITIVE",296.507540,44.036072,5.795063956,4.33,1692.9,3.2496,950.0,192.74,5865.00,0.8270,0.9140,4.563,0.949,0,119.40,0.0000
"K00906.01","Kepler-250 c","CONFIRMED","CANDIDATE",289.594760,44.141949,7.15681552,2.47,867,2.5882,782.0,88.23,5029.00,0.8380,0.7980,4.494,0.45,0,47.70,1.0000
"K00906.02","Kepler-250 d","CONFIRMED","CANDIDATE",289.594760,44.141949,17.64830851,2.43,763.3,2.0873,579.0,26.49,5029.00,0.8380,0.7980,4.494,0.653,0,23.80,1.0000
"K00906.03","Kepler-250 b","CONFIRMED","CANDIDATE",289.594760,44.141949,4.14810719,1.08,175.2,2.535,938.0,182.76,5029.00,0.8380,0.7980,4.494,0.093,0,12.90,0.9570
"K00907.01","Kepler-251 c","CONFIRMED","CANDIDATE",296.566220,44.105862,16.51410989,2.72,973.5,4.1575,655.0,43.57,5527.00,0.8660,0.8410,4.488,0.395,0,55.90,1.0000
"K00907.02","Kepler-251 d","CONFIRMED","CANDIDATE",296.566220,44.105862,30.1329298,3.14,1015.8,5.172,536.0,19.55,5527.00,0.8660,0.8410,4.488,0.839,0,44.80,1.0000
"K00907.03","Kepler-251 b","CONFIRMED","CANDIDATE",296.566220,44.105862,4.79090809,1.36,251.3,2.603,990.0,227.24,5527.00,0.8660,0.8410,4.488,0.11,0,21.20,1.0000
"K00907.04","Kepler-251 e","CONFIRMED","CANDIDATE",296.566220,44.105862,99.6415962,2.64,952.5,4.448,360.0,3.97,5527.00,0.8660,0.8410,4.488,0.028,0,22.70,1.0000
"K00908.01","Kepler-720 b","CONFIRMED","CANDIDATE",298.635650,44.170940,4.708326451,10.6,7912.7,3.16114,1162.0,431.02,5560.00,1.2100,0.9400,4.246,0.061,0,633.40,1.0000
"K00909.01",,"FALSE POSITIVE","FALSE POSITIVE",298.678620,44.175499,16.37198661,540.37,4147.6,3.8449,438.0,8.71,4187.00,0.5920,0.5800,4.656,9.303,0,54.50,0.0000
"K00910.01","Kepler-721 b","CONFIRMED","CANDIDATE",284.430510,44.480530,5.392026903,2.68,1151.4,2.9804,850.0,123.33,5198.00,0.8010,0.9150,4.589,0.314,0,77.40,1.0000
"K00911.01","Kepler-722 b","CONFIRMED","CANDIDATE",290.263280,44.556450,4.093578461,2.85,538.6,2.5833,1182.0,461.07,6077.00,0.9990,1.0770,4.471,0.93,0,36.40,1.0000
"K00911.02","Kepler-722 c","CONFIRMED","CANDIDATE",290.263280,44.556450,105.145959,3.43,685.4,8.593,401.0,6.09,6077.00,0.9990,1.0770,4.471,0.964,0,15.40,0.9990
"K00912.01","Kepler-252 c","CONFIRMED","CANDIDATE",295.579350,44.545959,10.8484518,2.34,1675.6,2.9993,499.0,14.66,4201.00,0.5910,0.6090,4.682,0.21,0,64.50,1.0000
"K00912.02","Kepler-252 b","CONFIRMED","CANDIDATE",295.579350,44.545959,6.66833241,1.18,362.3,1.915,587.0,28.06,4201.00,0.5910,0.6090,4.682,0.644,0,14.20,1.0000
"K00913.01","Kepler-723 b","CONFIRMED","CANDIDATE",284.830470,44.658138,4.082274889,10.55,17859.2,3.23015,1016.0,251.48,5655.00,0.7940,0.8860,4.581,0.093,0,1669.10,0.9970
"K00914.01",,"CANDIDATE","CANDIDATE",288.726650,44.607510,3.886655224,1.87,581.6,3.1646,1010.0,246.29,5662.00,0.7380,0.8130,4.610,0.649,0,48.10,1.0000
"K00915.01",,"FALSE POSITIVE","FALSE POSITIVE",282.306030,44.714661,37.601661282,27.22,59130.1,8.30604,606.0,31.86,6140.00,1.0960,0.9890,4.354,0.408,0,1667.30,0.0000
"K00916.01","Kepler-724 b","CONFIRMED","CANDIDATE",293.454830,44.792789,3.314947362,3.94,1398.2,1.8007,1155.0,421.03,5609.00,0.9440,0.9830,4.481,0.799,0,123.50,1.0000
"K00917.01",,"FALSE POSITIVE","FALSE POSITIVE",301.049560,44.706299,6.71969089,4.37,969.7,3.0231,952.0,194.18,5931.00,0.8660,0.8250,4.479,0.985,0,45.40,0.0000
"K00918.01","Kepler-725 b","CONFIRMED","CANDIDATE",283.977510,44.811562,39.6431552,10.98,15663.8,6.5292,472.0,11.74,5231.00,0.9000,0.8440,4.455,0.062,0,690.30,0.9960
"K00919.01",,"FALSE POSITIVE","FALSE POSITIVE",290.638980,44.806789,51.42598578,29.66,66067.7,16.9422,549.0,21.40,6257.00,1.1470,1.2330,4.410,0.203,0,1843.80,0.0000
"K00920.01","Kepler-726 b","CONFIRMED","CANDIDATE",291.717320,44.887310,21.80451611,2.6,1144.9,3.4097,543.0,20.48,5481.00,0.7080,0.8060,4.629,0.751,0,49.90,1.0000
"K00921.01","Kepler-253 c","CONFIRMED","CANDIDATE",291.841980,44.858089,10.28194593,2.53,1110.7,3.4366,680.0,50.60,5196.00,0.7750,0.8690,4.593,0.168,0,55.00,1.0000
"K00921.02","Kepler-253 d","CONFIRMED","CANDIDATE",291.841980,44.858089,18.11993039,2.95,1506.9,4.2309,563.0,23.77,5196.00,0.7750,0.8690,4.593,0.206,0,60.70,1.0000
"K00921.03","Kepler-253 b","CONFIRMED","CANDIDATE",291.841980,44.858089,3.78402867,1.7,426.1,1.9012,949.0,191.78,5196.00,0.7750,0.8690,4.593,0.691,0,25.60,1.0000
"K00922.01","Kepler-727 b","CONFIRMED","CANDIDATE",294.846890,45.034409,5.15448142,2.94,697.5,3.228,964.0,204.10,5431.00,0.8840,0.8160,4.457,0.933,0,48.10,1.0000
"K00923.01","Kepler-728 b","CONFIRMED","CANDIDATE",291.092350,45.115528,5.743469797,3.13,1240.2,3.4412,982.0,219.95,5897.00,0.8910,0.9830,4.531,0.001,0,79.70,1.0000
"K00924.01",,"CANDIDATE","CANDIDATE",291.208040,45.244389,39.4759093,4.06,1012.6,2.968,577.0,26.13,6225.00,1.0310,1.0910,4.450,0.938,0,26.60,1.0000
"K00925.01",,"FALSE POSITIVE","FALSE POSITIVE",289.727480,45.367661,19.974485239,26.56,40293.1,4.23479,700.0,56.84,6108.00,0.9970,1.0720,4.471,0.886,0,1398.80,0.0000
"K00926.01","Kepler-729 b","CONFIRMED","CANDIDATE",286.360110,45.414291,3.166353562,3.82,1473.4,3.3129,1273.0,621.92,6007.00,0.9980,1.0720,4.470,0.032,0,128.30,1.0000
"K00927.01",,"FALSE POSITIVE","FALSE POSITIVE",294.717680,45.485760,23.899634407,44.04,20953.1,3.81881,652.0,42.80,6192.00,0.9240,0.9910,4.503,1.245,0,547.80,0.0000
"K00928.01",,"CANDIDATE","CANDIDATE",284.759430,45.599129,2.494170338,2.42,863.7,1.1221,1194.0,480.19,5569.00,0.8290,0.9280,4.566,0.095,0,69.20,1.0000
"K00929.01","Kepler-730 b","CONFIRMED","CANDIDATE",285.554810,45.578861,6.491682808,9.66,7163.3,4.301,1062.0,301.54,6123.00,1.1070,1.1590,4.413,0.535,0,502.30,1.0000
"K00930.01",,"FALSE POSITIVE","FALSE POSITIVE",293.684940,45.516830,3.044770796,24.54,1695,10.0134,1076.0,317.36,5525.00,0.7530,0.8430,4.603,1.252,0,203.50,0.0000
"K00931.01","Kepler-731 b","CONFIRMED","CANDIDATE",296.393160,45.568562,3.855603916,13.61,16652.7,3.2179,1212.0,508.65,6033.00,1.0460,1.1530,4.460,0.348,0,1173.90,0.9990
"K00932.01",,"FALSE POSITIVE","FALSE POSITIVE",296.395420,45.569920,3.855599139,3.57,1030.9,3.183,1158.0,425.74,5936.00,0.9650,1.0750,4.501,0.864,0,90.10,0.0000
"K00933.01",,"FALSE POSITIVE","FALSE POSITIVE",297.788480,45.565418,3.187067566,23.88,1037.4,3.119,1079.0,319.76,5450.00,0.8110,0.8570,4.552,1.234,0,37.20,0.0000
"K00934.01","Kepler-254 b","CONFIRMED","CANDIDATE",288.164700,45.816509,5.826657508,4.09,1539.1,2.9183,1013.0,248.57,5561.00,1.0600,0.9430,4.362,0.033,0,81.10,1.0000
"K00934.02","Kepler-254 c","CONFIRMED","CANDIDATE",288.164700,45.816509,12.41216347,2.58,611.3,3.739,787.0,90.65,5561.00,1.0600,0.9430,4.362,0.021,0,25.60,0.9980
"K00934.03","Kepler-254 d","CONFIRMED","CANDIDATE",288.164700,45.816509,18.74649011,3.05,796.8,3.895,686.0,52.38,5561.00,1.0600,0.9430,4.362,0.508,0,26.70,1.0000
"K00935.01","Kepler-31 b","CONFIRMED","CANDIDATE",294.023010,45.853081,20.86021229,5.5,1910.5,5.1937,781.0,87.76,6035.00,1.2570,0.9580,4.220,0.066,0,117.00,1.0000
"K00935.02","Kepler-31 c","CONFIRMED","CANDIDATE",294.023010,45.853081,42.63427848,5.22,1719.3,6.1998,615.0,33.82,6035.00,1.2570,0.9580,4.220,0.142,0,78.70,1.0000
"K00935.03","Kepler-31 d","CONFIRMED","CANDIDATE",294.023010,45.853081,87.6476068,4,1009.6,8.871,484.0,12.94,6035.00,1.2570,0.9580,4.220,0.147,0,37.50,0.9730
"K00935.04",,"CANDIDATE","CANDIDATE",294.023010,45.853081,9.61731426,1.94,234,3.8692,1010.0,246.13,6035.00,1.2570,0.9580,4.220,0.331,0,18.20,0.9750
"K00936.01","Kepler-732 b","CONFIRMED","CANDIDATE",283.732030,45.958771,9.467821474,2.13,2237,2.4327,407.0,6.47,3582.00,0.4580,0.4910,4.807,0.081,0,124.70,0.9530
"K00936.02","Kepler-732 c","CONFIRMED","CANDIDATE",283.732030,45.958771,0.893040969,1.24,741.7,1.0981,893.0,151.14,3582.00,0.4580,0.4910,4.807,0.009,0,87.80,0.7040
"K00937.01","Kepler-733 b","CONFIRMED","CANDIDATE",293.018280,45.914688,20.83426731,2.74,988.4,4.0454,595.0,29.62,5537.00,0.8800,0.9990,4.549,0.256,0,45.10,1.0000
"K00938.01","Kepler-255 c","CONFIRMED","CANDIDATE",296.064240,45.976841,9.94602357,3.12,994.5,3.3862,807.0,100.34,5344.00,1.0130,0.8670,4.365,0.035,0,51.00,1.0000
"K00938.02","Kepler-255 d","CONFIRMED","CANDIDATE",296.064240,45.976841,1.04562195,1.45,213,1.8955,1710.0,2031.84,5344.00,1.0130,0.8670,4.365,0.037,0,25.30,0.9980
"K00938.03","Kepler-255 b","CONFIRMED","CANDIDATE",296.064240,45.976841,5.71462396,1.78,297.8,2.336,971.0,210.16,5344.00,1.0130,0.8670,4.365,0.503,0,16.70,0.9490
"K00939.01","Kepler-256 c","CONFIRMED","CANDIDATE",292.580440,46.097389,3.388012244,2.11,280.1,2.6849,1315.0,705.93,5553.00,1.2500,0.9490,4.221,0.433,0,30.60,1.0000
"K00939.02","Kepler-256 d","CONFIRMED","CANDIDATE",292.580440,46.097389,5.83909761,2.06,273.6,3.1915,1097.0,341.48,5553.00,1.2500,0.9490,4.221,0.341,0,25.20,1.0000
"K00939.03","Kepler-256 b","CONFIRMED","CANDIDATE",292.580440,46.097389,1.620467654,1.57,159.6,2.1888,1681.0,1893.42,5553.00,1.2500,0.9490,4.221,0.271,0,22.70,1.0000
"K00939.04","Kepler-256 e","CONFIRMED","CANDIDATE",292.580440,46.097389,10.6816951,2.3,307.8,3.605,897.0,152.75,5553.00,1.2500,0.9490,4.221,0.646,0,21.90,1.0000
"K00940.01","Kepler-734 b","CONFIRMED","CANDIDATE",297.045620,46.027359,6.104849417,3.18,2090.3,4.6912,784.0,89.25,5085.00,0.7120,0.7100,4.584,0.041,0,293.70,1.0000
"K00941.01","Kepler-257 c","CONFIRMED","CANDIDATE",297.315980,46.023258,6.581477136,4.56,2318.9,3.0896,881.0,142.63,5188.00,0.9730,0.8680,4.400,0.137,0,116.20,1.0000
"K00941.02","Kepler-257 b","CONFIRMED","CANDIDATE",297.315980,46.023258,2.382652873,2.74,705.4,1.8888,1237.0,553.53,5188.00,0.9730,0.8680,4.400,0.682,0,45.50,1.0000
"K00941.03","Kepler-257 d","CONFIRMED","CANDIDATE",297.315980,46.023258,24.66461416,5.34,2398.8,2.8579,567.0,24.53,5188.00,0.9730,0.8680,4.400,0.8,0,56.70,1.0000
"K00942.01","Kepler-735 b","CONFIRMED","CANDIDATE",284.688870,46.172249,11.51517167,2.9,1357.4,2.006,657.0,43.96,5177.00,0.7980,0.9100,4.590,0.311,0,53.20,1.0000
"K00943.01","Kepler-736 b","CONFIRMED","CANDIDATE",285.391330,46.180939,3.601465336,2.31,777.7,2.2753,996.0,232.65,5052.00,0.8550,0.8050,4.480,0.021,0,50.70,1.0000
"K00944.01",,"FALSE POSITIVE","FALSE POSITIVE",294.799740,46.207569,3.108251172,4.43,1867.7,2.5048,1096.0,340.69,5330.00,0.8470,0.8190,4.495,0.9,0,156.50,1.0000
"K00945.01","Kepler-1666 b","CONFIRMED","CANDIDATE",297.951600,46.264721,25.8474958,2.4,537.4,5.985,672.0,48.23,6297.00,1.0310,1.0840,4.448,0.054,0,27.30,1.0000
"K00945.02","Kepler-1666 c","CONFIRMED","CANDIDATE",297.951600,46.264721,40.715561,2.7,680.9,6.894,578.0,26.34,6297.00,1.0310,1.0840,4.448,0.008,0,28.90,0.9990
"K00946.01",,"FALSE POSITIVE","FALSE POSITIVE",296.659150,46.382172,20.42720701,4.42,1273,3.447,674.0,48.72,6014.00,0.9580,1.0430,4.494,0.956,0,36.70,0.0000
"K00947.01","Kepler-737 b","CONFIRMED","CANDIDATE",291.862850,46.429260,28.59914031,1.83,1585.1,3.6567,298.0,1.87,3755.00,0.4610,0.4700,4.781,0.009,0,53.80,1.0000
"K00948.01","Kepler-738 b","CONFIRMED","CANDIDATE",287.569670,46.567860,24.58716355,2.37,907.5,3.984,530.0,18.72,5474.00,0.7490,0.8310,4.605,0.648,0,35.60,1.0000
"K00949.01","Kepler-739 b","CONFIRMED","CANDIDATE",290.067990,46.579140,12.53248222,3.24,1145.9,4.0168,775.0,85.15,5997.00,0.9040,0.9910,4.522,0.668,0,66.70,1.0000
"K00950.01",,"CANDIDATE","CANDIDATE",292.657040,46.537338,31.201692472,8.31,34513.7,2.15663,286.0,1.59,3748.00,0.4490,0.4610,4.796,0.001,0,607.40,0.9930
"K00951.01","Kepler-258 b","CONFIRMED","CANDIDATE",294.068480,46.579330,13.19720694,4.18,2141.4,3.4872,642.0,40.03,4954.00,0.8850,0.8270,4.462,0.568,0,116.20,1.0000
"K00951.02","Kepler-258 c","CONFIRMED","CANDIDATE",294.068480,46.579330,33.6528474,3.05,1140.8,3.9616,470.0,11.50,4954.00,0.8850,0.8270,4.462,0.567,0,41.90,0.9820
"K00952.01","Kepler-32 b","CONFIRMED","CANDIDATE",297.842410,46.574268,5.90127815,1.94,1525.2,2.1979,514.0,16.54,3731.00,0.4980,0.5090,4.750,0.03,0,56.60,1.0000
"K00952.02","Kepler-32 c","CONFIRMED","CANDIDATE",297.842410,46.574268,8.75209691,1.83,1367.6,2.3742,451.0,9.76,3731.00,0.4980,0.5090,4.750,0.017,0,44.80,1.0000
"K00952.03","Kepler-32 d","CONFIRMED","CANDIDATE",297.842410,46.574268,22.78078241,2.17,1925.1,3.3002,328.0,2.73,3731.00,0.4980,0.5090,4.750,0.008,0,46.40,1.0000
"K00952.04","Kepler-32 e","CONFIRMED","CANDIDATE",297.842410,46.574268,2.896005211,1.23,614.1,1.6776,652.0,42.53,3731.00,0.4980,0.5090,4.750,0.082,0,28.60,0.9680
"K00952.05","Kepler-32 f","CONFIRMED","CANDIDATE",297.842410,46.574268,0.742957911,1.47,843.3,0.6688,1026.0,262.51,3731.00,0.4980,0.5090,4.750,0.162,0,45.30,0.9960
"K00953.01","Kepler-740 b","CONFIRMED","CANDIDATE",286.482270,46.692451,3.584101048,4.66,2608.1,2.7316,1131.0,386.66,5739.00,0.9220,1.0210,4.518,0.045,0,166.30,1.0000
"K00954.01","Kepler-259 b","CONFIRMED","CANDIDATE",288.211940,46.615002,8.11528727,3.1,834.9,3.211,879.0,140.92,5926.00,0.8870,0.9780,4.532,0.916,0,59.10,1.0000
"K00954.02","Kepler-259 c","CONFIRMED","CANDIDATE",288.211940,46.615002,36.9250409,3.01,902,4.9381,530.0,18.70,5926.00,0.8870,0.9780,4.532,0.838,0,39.30,1.0000
"K00955.01","Kepler-741 b","CONFIRMED","CANDIDATE",289.431700,46.617531,7.03902016,2.45,529.8,3.8633,1051.0,288.92,6321.00,1.0580,1.1080,4.434,0.015,0,54.30,1.0000
"K00956.01","Kepler-742 b","CONFIRMED","CANDIDATE",283.866030,46.789589,8.360870704,3.67,2039.7,2.7144,690.0,53.68,4743.00,0.8100,0.7860,4.516,0.494,0,120.90,1.0000
"K00957.01",,"FALSE POSITIVE","FALSE POSITIVE",282.353240,43.335129,3.14051153,31.01,1444.4,8.2806,1306.0,689.48,6108.00,0.9740,0.9590,4.443,1.251,0,139.50,0.0000
"K00958.01","Kepler-1731 b","CONFIRMED","CANDIDATE",291.254490,36.743610,21.76129812,2.53,1300.7,1.243,486.0,13.18,4859.00,0.7200,0.7810,4.612,0.123,0,60.00,1.0000
"K00959.01",,"FALSE POSITIVE","FALSE POSITIVE",287.559720,46.957085,12.713794177,2.31,36718.7,2.44093,181.0,0.26,2661.00,0.1160,0.0940,5.283,0.485,0,2981.30,0.7290
"K00960.01",,"FALSE POSITIVE","FALSE POSITIVE",295.470670,44.010738,15.801100028,15.61,37545,6.37505,614.0,33.60,5383.00,0.7890,0.8850,4.587,0.512,0,1642.20,0.0000
"K00961.01","Kepler-42 b","CONFIRMED","CANDIDATE",292.219060,44.619160,1.213770423,0.78,1821,0.5532,525.0,18.03,3292.00,0.1480,0.1320,5.215,0.83,0,111.40,1.0000
"K00961.02","Kepler-42 c","CONFIRMED","CANDIDATE",292.219060,44.619160,0.453287416,0.76,1461.5,0.4445,729.0,66.14,3292.00,0.1480,0.1320,5.215,0.81,0,150.40,0.0000
"K00961.03","Kepler-42 d","CONFIRMED","CANDIDATE",292.219060,44.619160,1.865114193,0.66,1124.8,0.4279,455.0,10.10,3292.00,0.1480,0.1320,5.215,0.785,0,56.90,1.0000
"K00964.01",,"FALSE POSITIVE","FALSE POSITIVE",288.499480,47.996471,3.273699006,22.36,6862.8,3.07626,3060.0,20728.79,10816.00,2.4930,2.7600,4.086,0.733,0,1293.10,0.0000
"K00965.01",,"FALSE POSITIVE","FALSE POSITIVE",290.115690,38.404190,7.047103499,51.86,71318,3.3208,955.0,196.62,5730.00,1.0350,1.0180,4.417,1.047,0,274.90,0.0000
"K00966.01",,"FALSE POSITIVE","FALSE POSITIVE",290.911190,38.335579,0.379463865,59.56,1973.3,0.86896,3000.0,19256.81,5075.00,1.7830,0.9050,3.892,1.246,0,458.60,0.0000
"K00967.01",,"FALSE POSITIVE","FALSE POSITIVE",281.669160,42.038639,9.88047978,23.6,18541,2.78458,860.0,129.45,6113.00,0.9170,0.9970,4.512,1.02,0,534.50,0.0000
"K00968.01",,"FALSE POSITIVE","FALSE POSITIVE",295.266820,38.611240,4.6484156,5.06,128.4,38.1939,2259.0,6152.88,6980.00,3.4820,1.6710,3.577,0.968,0,91.70,0.0000
"K00969.01",,"FALSE POSITIVE","FALSE POSITIVE",287.616330,39.127239,17.512014768,13.66,4511.7,1.8248,804.0,98.77,6224.00,1.1320,0.9980,4.330,0.994,0,322.30,0.0000
"K00970.01",,"CANDIDATE","CANDIDATE",289.093230,49.424484,3.9886021,34.39,673.5,1.7376,3145.0,23135.72,4813.00,13.6520,2.0160,2.472,0.06,0,37.10,0.0000
"K00971.01",,"CANDIDATE","CANDIDATE",286.019200,48.866741,0.533059312,133.56,1495.8,1.8621,5862.0,277887.70,8523.00,4.0510,2.1660,3.559,1.263,0,179.60,1.0000
"K00972.01",,"CONFIRMED","CANDIDATE",282.000310,48.542221,13.118962443,8.25,372.2,4.3045,1768.0,2310.43,7221.00,4.2400,2.0180,3.488,0.042,0,267.40,0.6320
"K00972.02",,"CANDIDATE","CANDIDATE",282.000310,48.542221,7.82187328,2.78,42.2,3.8417,2101.0,4601.71,7221.00,4.2400,2.0180,3.488,0.005,0,37.20,0.0000
"K00974.01",,"CANDIDATE","CANDIDATE",295.802670,45.988079,53.5057611,2.52,195.6,10.5616,675.0,49.16,6247.00,1.7620,1.1740,4.016,0.46,0,71.20,0.9990
"K00975.01","Kepler-21 b","CONFIRMED","CANDIDATE",287.361820,38.714016,2.785821236,1.69,68.9,3.5599,1784.0,2388.98,6202.00,1.7330,1.1620,4.026,0.893,0,53.60,1.0000
"K00976.01",,"FALSE POSITIVE","FALSE POSITIVE",290.944370,38.538868,52.56901867,78.54,26900,6.7507,737.0,69.62,7240.00,1.7170,1.6200,4.178,1.197,0,184.30,0.0000
"K00977.01",,"FALSE POSITIVE","FALSE POSITIVE",292.719640,48.852016,1.353771892,430.99,1349.1,7.012,4903.0,136609.48,4283.00,15.7600,0.9310,2.012,1.203,0,76.70,1.0000
"K00978.01",,"FALSE POSITIVE","FALSE POSITIVE",284.026790,49.415428,18.95491633,71.39,867.5,24.249,1139.0,397.48,6362.00,2.5340,1.3520,3.761,1.228,0,249.30,0.0000
"K00979.01",,"FALSE POSITIVE","FALSE POSITIVE",298.804110,40.843563,4.348866254,2436.69,625.6,3.2797,6421.0,401588.95,3598.00,101.4510,1.6790,0.650,1.187,0,56.30,0.0000
"K00980.01",,"FALSE POSITIVE","FALSE POSITIVE",295.598720,50.720669,47.93094546,68.02,2144.4,2.6897,905.0,158.41,8214.00,1.9380,1.7370,4.104,1.272,0,221.10,0.0000
"K00981.01",,"FALSE POSITIVE","FALSE POSITIVE",283.736420,44.713310,3.99751422,2.98,32.8,3.686,2203.0,5563.95,5066.00,5.3240,1.3720,3.122,0.0303,0,6.10,
"K00982.01",,"FALSE POSITIVE","FALSE POSITIVE",291.761960,37.098640,1.592633181,1.56,633.1,5.5605,1053.0,290.51,4506.00,0.6510,0.6540,4.626,0.003,0,66.90,0.0000
"K00983.01",,"FALSE POSITIVE","FALSE POSITIVE",289.874110,49.685490,7.1548608,7.41,780.4,7.694,1482.0,1141.57,7443.00,1.7390,1.6160,4.166,0.9848,0,24.20,
"K00984.01","Kepler-1973 b","CONFIRMED","CANDIDATE",291.048800,36.839882,4.28746668,2.29,790.1,1.5693,942.0,186.31,5296.00,0.8150,0.9110,4.576,0.374,0,19.40,0.7110
"K00985.01",,"FALSE POSITIVE","FALSE POSITIVE",298.447750,47.264999,2.002779769,1.42,260.5,2.231,1311.0,696.40,5346.00,0.8920,0.7990,4.440,0.242,0,22.20,0.0000
"K00986.01","Kepler-260 b","CONFIRMED","CANDIDATE",291.925960,38.014118,8.18739443,1.92,517.6,3.0472,782.0,88.36,5251.00,0.8490,0.8210,4.494,0.377,0,38.40,1.0000
"K00986.02","Kepler-260 c","CONFIRMED","CANDIDATE",291.925960,38.014118,76.0498163,1.75,445.9,7.158,372.0,4.53,5251.00,0.8490,0.8210,4.494,0.015,0,17.40,0.8810
"K00987.01","Kepler-743 b","CONFIRMED","CANDIDATE",295.574160,42.806438,3.179267286,1.21,200.9,1.0246,1101.0,347.01,5511.00,0.8570,0.9600,4.554,0.171,0,41.00,1.0000
"K00988.01","Kepler-261 b","CONFIRMED","CANDIDATE",291.364780,37.609169,10.38122447,2.18,801.5,2.715,672.0,48.37,5095.00,0.7800,0.8160,4.566,0.319,0,41.90,1.0000
