kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00180.01","Kepler-484 b","CONFIRMED","CANDIDATE",284.394290,46.249081,10.04556377,2.19,671.4,3.2027,766.0,81.61,5632.00,0.8530,0.9520,4.554,0.075,0,66.50,1.0000
"K00181.01",,"FALSE POSITIVE","FALSE POSITIVE",288.252840,51.417332,5.093938816,17.19,25026.7,3.93144,1137.0,395.38,6197.00,1.0350,1.0960,4.449,0.618,0,1131.70,0.0030
"K00182.01",,"FALSE POSITIVE","FALSE POSITIVE",295.671300,40.599060,3.479425638,12.86,19550,3.4479,1166.0,435.85,5907.00,0.8780,0.9290,4.519,0.612,0,123.30,0.8760
"K00183.01","Kepler-423 b","CONFIRMED","CANDIDATE",292.855740,46.391178,2.684328541,12.73,18136.5,2.69382,1265.0,603.57,5561.00,0.9560,0.8590,4.411,0.076,0,2833.10,0.9950
"K00184.01",,"FALSE POSITIVE","FALSE POSITIVE",296.047640,43.762138,7.300735516,13.32,13051.7,5.78725,1086.0,328.98,6434.00,1.1380,1.1690,4.394,0.446,0,1640.00,0.0040
"K00185.01",,"CANDIDATE","CANDIDATE",296.185240,39.262680,23.210509958,21.19,28736.9,3.09802,595.0,29.69,5875.00,0.8090,0.8950,4.572,0.954,0,958.70,0.0000
"K00186.01","Kepler-485 b","CONFIRMED","CANDIDATE",294.996310,50.470058,3.24325988,12.91,16450.9,3.03318,1243.0,563.17,5823.00,1.0130,1.0270,4.438,0.117,0,1586.20,0.9980
"K00187.01",,"FALSE POSITIVE","FALSE POSITIVE",288.729490,42.550880,30.882538697,15.4,24012,5.3737,593.0,29.12,6014.00,0.9930,1.1010,4.486,0.197,0,1266.20,0.0000
"K00188.01","Kepler-425 b","CONFIRMED","CANDIDATE",290.358030,40.567741,3.797018259,10.07,14431.2,2.2608,982.0,219.64,5167.00,0.8480,0.8830,4.527,0.321,0,1549.00,0.9950
"K00189.01","Kepler-486 b","CONFIRMED","CANDIDATE",284.879970,49.266991,30.360445359,10.99,21124.7,6.0134,459.0,10.47,4939.00,0.7650,0.7400,4.541,0.359,0,1126.20,0.9820
"K00190.01",,"FALSE POSITIVE","FALSE POSITIVE",284.648860,41.015018,12.264867364,28.29,11310.9,4.7366,1077.0,317.89,5372.00,2.3440,1.2950,3.810,0.818,0,560.20,0.0000
"K00191.01","Kepler-487 b","CONFIRMED","CANDIDATE",295.287230,41.221958,15.358767771,10.89,14638.1,4.1223,662.0,45.46,5422.00,0.8870,0.8740,4.484,0.487,0,812.60,0.9980
"K00191.02","Kepler-487 d","CONFIRMED","CANDIDATE",295.287230,41.221958,2.418406841,2.25,665.4,2.0744,1226.0,535.84,5422.00,0.8870,0.8740,4.484,0.018,0,69.10,0.9960
"K00191.03",,"CANDIDATE","CANDIDATE",295.287230,41.221958,0.708621057,1.2,187.5,1.5041,1846.0,2741.07,5422.00,0.8870,0.8740,4.484,0.033,0,30.50,0.9980
"K00191.04","Kepler-487 c","CONFIRMED","CANDIDATE",295.287230,41.221958,38.6520796,2.07,566.5,5.607,487.0,13.28,5422.00,0.8870,0.8740,4.484,0.038,0,24.80,0.0000
"K00192.01","Kepler-427 b","CONFIRMED","CANDIDATE",288.254580,43.704868,10.290994129,13.43,9655.7,4.28889,996.0,233.08,5803.00,1.3730,0.9370,4.134,0.049,0,1245.70,0.9910
"K00193.01",,"FALSE POSITIVE","FALSE POSITIVE",292.876160,48.195309,37.590298548,14.39,19938.9,4.3855,573.0,25.53,6147.00,1.0030,1.0640,4.463,0.38,0,929.00,0.0000
"K00194.01","Kepler-488 b","CONFIRMED","CANDIDATE",282.966160,48.345070,3.120828136,14.16,16456,2.1878,1303.0,680.79,6122.00,0.9960,1.0700,4.471,0.784,0,113.50,0.8020
"K00195.01","Kepler-426 b","CONFIRMED","CANDIDATE",289.434630,49.473400,3.217518511,11.38,14319.4,2.11481,1185.0,464.73,5720.00,0.9030,0.8820,4.473,0.638,0,1287.40,1.0000
"K00199.01","Kepler-490 b","CONFIRMED","CANDIDATE",295.025670,46.956001,3.268695042,16.91,10091.4,3.45188,1597.0,1539.00,5927.00,1.6910,1.1610,4.046,0.065,0,1429.90,0.9990
"K00199.02",,"FALSE POSITIVE","FALSE POSITIVE",295.025670,46.956001,8.78458274,2.6,210.8,6.459,1149.0,411.55,5927.00,1.6910,1.1610,4.046,0.681,0,25.90,0.0000
